UserID,ConnectedBaseStation,CurrentLocation,Handovercouter,UsersInSystem,UserQueue
44,Station B,3000.047161278756,1,20,5
58,Station B,3000.416428451058,1,20,4
55,Station B,3000.085116258491,1,20,4
65,Station B,3000.181258928675,1,20,5
45,Station B,3000.024079431831,3,20,4
66,Station B,3000.0114972883152,1,20,3
64,Station B,3000.361704731201,3,20,2
0,Station B,3000.035947522856,1,20,1
59,Station B,3000.134802039722,1,20,0
69,Station B,3000.1924061798713,1,20,2
68,Station B,3000.3300963750207,1,20,4
70,Station B,3000.2919287210943,1,20,4
23,Station B,3000.083883829593,1,20,3
42,Station B,3000.083328183291,5,20,2
60,Station B,3000.272000716584,3,20,3
74,Station B,3000.0832066460316,1,20,2
76,Station B,3000.00268243549,1,20,2
72,Station B,3000.271632552938,1,20,1
63,Station B,3000.2413531807083,3,20,3
73,Station B,3000.2223345075845,3,20,4
77,Station B,3000.418687268111,1,20,5
78,Station B,3000.458804754908,1,20,4
85,Station B,3000.4760984561394,1,20,6
75,Station B,3000.1854212160515,1,20,5
80,Station B,3000.321423491202,1,20,4
87,Station B,3000.6441761838796,1,20,4
79,Station B,3000.022342044375,1,20,3
86,Station B,3000.730720058089,1,20,4
81,Station B,3000.534000455842,1,20,3
84,Station B,3000.238213244019,3,20,5
62,Station B,3000.137058582028,3,20,4
82,Station B,3000.365441185746,1,20,3
90,Station B,3000.3540936648365,1,20,3
88,Station B,3000.1628995955957,1,20,3
97,Station B,3000.852653968474,1,20,5
94,Station B,3000.424927161418,1,20,5
93,Station B,3000.73892489304,1,20,4
91,Station B,3000.184239088182,1,20,3
83,Station B,3000.2709561867873,1,20,4
101,Station B,3000.4216954845197,1,20,4
100,Station B,3000.0525445634266,3,20,3
67,Station B,3000.1211565465514,3,20,2
57,Station B,3000.068304223697,3,20,3
95,Station B,3000.4138900296125,3,20,2
105,Station B,3000.4395374441156,1,20,2
102,Station B,3000.600787539807,1,20,1
99,Station B,3000.3710485277534,5,20,0
106,Station A,3000.8737130378995,2,20,0
71,Station B,2984.0095251017624,1,19,0
103,Station B,3000.4680115138476,3,18,0
104,Station B,3000.7428428664607,1,19,0
54,Station B,3000.060515687059,3,20,0
98,Station B,3000.037345202623,1,20,0
107,Station B,3000.448197367678,3,20,1
92,Station B,3000.021377161132,1,20,2
108,Station B,3000.585093224288,3,20,2
115,Station B,3000.415167831808,1,20,4
111,Station B,3000.536323068367,3,20,6
119,Station B,3000.518372144915,1,20,5
51,Station B,3000.0444633767916,1,20,4
96,Station B,3000.1707335491574,3,20,4
110,Station B,3000.2168207798304,1,20,3
122,Station B,3000.0386827432003,1,20,3
125,Station A,3000.4261196308203,0,20,5
109,Station B,3000.0815639447555,1,20,4
132,Station A,2143.784340276312,0,20,3
127,Station B,3000.1934828048957,1,20,5
120,Station B,3000.3394885889065,1,20,4
129,Station B,3000.0923214522186,1,20,4
121,Station B,3000.3594549911077,1,20,6
130,Station B,3000.012785434044,5,20,5
133,Station A,2404.426956802535,2,20,4
112,Station B,3000.1857719304094,1,20,4
126,Station B,3000.2930296211553,1,20,3
114,Station B,3000.2890280795154,3,20,3
124,Station B,3000.3933817988172,1,20,2
89,Station B,3000.1426477752716,1,20,1
134,Station B,3000.7487137202556,1,20,0
141,Station B,3000.721571236012,1,20,10
139,Station B,3000.085235413701,1,20,10
118,Station B,3000.14707338285,3,20,9
135,Station B,3000.127882038858,1,20,9
116,Station B,2968.544497677431,3,20,9
151,Station A,2103.225355727737,0,20,9
123,Station B,3000.1603204892704,1,20,8
136,Station B,3000.266041330289,1,20,7
144,Station B,2989.199254674049,1,20,18
137,Station B,3000.187744866749,1,20,19
152,Station B,3000.403364747433,3,20,19
149,Station B,3000.432757891307,1,20,20
153,Station B,2994.7114941442273,1,20,23
117,Station B,2977.23265515749,9,20,26
146,Station B,3000.2688788018895,1,20,27
150,Station B,3000.3058818877853,1,20,28
147,Station B,3000.1714788291174,1,20,27
157,Station B,3000.9709793473608,1,20,26
131,Station B,3000.0989040038726,1,20,25
163,Station A,2155.2401326672443,0,20,25
138,Station B,2983.4284236160943,1,20,25
156,Station B,3000.437753770974,1,20,24
113,Station B,3000.063578319823,3,20,23
155,Station B,3000.1338648561004,3,20,23
161,Station B,3000.0163941818487,1,20,23
